CurCode;CurName;CurNameBel;CurNameEng
032;Аргентинское песо;Аргенцінскае песа;Argentine Peso
971;Афгани;Афгані;Afghani
764;Бат;Бат;Baht
937;Боливар;Балівар;Bolivar
986;Бразильский реал;Бразільскі рэал;Brazilian Real
410;Вона;Вона;Won
344;Гонконгский доллар;Ганконгскі долар;Hong Kong Dollar
807;Денар;Дэнар;Denar
784;Дирхам ОАЭ;Дырхам ААЭ;UAE Dirham
704;Донг;Донг;Dong
818;Египетский фунт;Егіпецкі фунт;Egyptian Pound
356;Индийская рупия;Індыйская рупія;Indian Rupee
368;Иракcкий динар;Іракскі дынар;Iraqi Dinar
404;Кенийский шиллинг;Кенійскі шылінг;Kenyan Shilling
418;Кип;Кіп;Kip
170;Колумбийское песо;Калумбійскае песа;Colombian Peso
191;Куна;Куна;Kuna
981;Лари;Лары;Lari
008;Лек;Лек;Lek
458;Малайзийский ринггит;Малайзійскі рынгіт;Malaysian Ringgit
504;Марокканский дирхам;Мараканскі дырхам;Moroccan Dirham
484;Мексиканское песо;Мексіканскае песа;Mexican Peso
566;Найра;Найра ;Naira
524;Непальcкая рупия;Непальская рупія;Nepalese Rupee
376;Новый израильский шекель;Новы ізраільскі шэкель;New Israeli Sheqel
604;Соль;Соль;Sol
901;Новый тайваньский доллар;Новы тайваньскі долар;New Taiwan Dollar
934;Новый туркменский манат;Новы туркменскі манат;Turkmenistan New Manat
586;Пакистанская рупия;Пакістанская рупія;Pakistan Rupee
946;Румынский лей;Румынскі лей;Romanian Leu
360;Рупия;Рупія;Rupiah
710;Рэнд;Рэнд;Rand
682;Саудовский риял;Саудаўскі рыял;Saudi Riyal
941;Сербский динар;Сербскі дынар;Serbian Dinar
760;Сирийский фунт;Сірыйскі фунт;Syrian Pound
972;Сомони;Самані;Somoni
938;Суданский фунт;Суданскі фунт;Sudanese Pound
860;Узбекский сум;Узбекскі сум;Uzbekistan Sum
858;Уругвайское песо;Уругвайскае песа;Peso Uruguayo
608;Филиппинcкое песо;Філіпінскае песа;Philippine Peso
348;Форинт;Форынт;Forint
144;Шри-ланкийская рупия;Шры-ланкійская рупія;Sri Lanka Rupee
230;Эфиопский быр;Эфіопскі быр;Ethiopian Birr
788;Тунисский динар;Туніскі дынар;Tunisian Dinar
418;Лаосский кип;Лаоскі кіп;Lao Kip
944;Азербайджанский манат;Азербайджанскі манат;Azerbaijan Manat
